name,url,salary,id_vacancy,employer,employer_url,requirement,responsibility
Тьютор в частную школу,https://hh.ru/vacancy/78753634,35000,78753634,нет данных,нет данных,"психологическое, педагогическое или дефектологическое образование. — опыт работы с детьми. — грамотная русская речь. — коммуникабельность, открытость, умение заинтересовать, умение находить подход к...",педагогическая работа с участниками образовательного процесса в КУРИРУЕМОМ КЛАССЕ (проведение уроков по доп. дисциплинам по системе 4К). — 
Тьютор,https://hh.ru/vacancy/79232155,45000,79232155,нет данных,нет данных,Высшее профессиональное образование по направлению подготовки «Образование и педагогика» и стаж педагогической работы не менее 2 лет.,"Организует взаимодействия обучающегося с <highlighttext>преподавателями</highlighttext> и другими педагогическими работниками для коррекции индивидуального учебного плана, содействует генерированию его творческого потенциала и..."
Учитель начальных классов,https://hh.ru/vacancy/79072306,25000,79072306,нет данных,нет данных,Наличие справки об отсутствии/наличии судимости.,В соответствии с должностной инструкцией. В установленном законодательством Российской Федерации порядке <highlighttext>учитель</highlighttext> несет ответственность за: Безопасное проведение образовательного процесса. 
Педагог-тьютор,https://hh.ru/vacancy/78109554,35000,78109554,нет данных,нет данных,"Современная Частная школа! Альтернативное образование! Гуманное воспитание! Креативное развитие! Важно!!! Энергичный, проактивный, творческий! Требования: Высшее педагогическое или психологическое образование. ","Создание индивидуального образовательного маршрута детей начальной школы, наставничество. Проведение групповых и индивидуальных психологических, командообразующих игр и занятий с детьми частной..."
Учитель русского языка и литературы в частную школу,https://hh.ru/vacancy/79159325,70000,79159325,нет данных,нет данных,Успешное пробное занятие. Рекомендации. Знание английского языка - требуется для общения в команде школы. Наличие сертификата сдачи пробного ЕГЭ МЦКО - уровень...,Преподавание русского языка и литературы 5-10 класс. Работа по стандартам школы без домашнего задания. Ведение электронного дневника по предметам...
Учитель начальных классов,https://hh.ru/vacancy/79119000,20302,79119000,нет данных,нет данных,Образование ВО (педагогическое). Наличие медицинской книжки.,Осуществляет обучение и воспитание детей. Ведение документации по предмету.
Педагог-психолог,https://hh.ru/vacancy/79089296,30000,79089296,нет данных,нет данных,Высшее педагогическое или психологическое образование. - Опыт работы с детьми от 1 года. - Грамотная устная и письменная речь. - Умение держать темп...,
Учитель английского языка,https://hh.ru/vacancy/79190656,1000,79190656,нет данных,нет данных,Опыт работы. Высшее профильное образование. Наличие категории <highlighttext>учителя</highlighttext>.,Осуществлять обучение и воспитание обучающихся с учетом специфики преподаваемого учебного предмета. Выполнение должностной инструкции <highlighttext>учителя</highlighttext>.
Учитель начальных классов,https://hh.ru/vacancy/79070303,80000,79070303,нет данных,нет данных,"Требования: исполнительность, ответственность, умение находить общий язык с детьми.","Обязанности: подготовка детей к школе, обучение детей по школьной начальной программе."
Учитель начальных классов,https://hh.ru/vacancy/79015922,Не указан,79015922,нет данных,нет данных,"Иметь высшее образование по любой специальности (или среднее, но специальное педагогическое) к 1 сентября 2023 года. Диплом МГИМО о педагогической...",Пройти отбор в программу.
Репетитор английского языка,https://hh.ru/vacancy/78070419,8000000,78070419,нет данных,нет данных,Ielts 7.5 и выше. - опыт в развитии речи. - владение русским и/или узбекским языками. - компьютерная грамотность. - опыт в сфере...,
Монтессори педагог в класс Elementary 6-12,https://hh.ru/vacancy/77167582,100000,77167582,нет данных,нет данных,"Для данной позиции ОБЯЗАТЕЛЬНО Монтессори образование (ступени 6-12). *Высшее педагогическое, психологическое образование как преимущество. *Безусловную любовь к детям, веру...","Эффективное взаимодействие и руководство всеми членами команды (ассистенты, дополнительные <highlighttext>педагоги</highlighttext>). *Построение эффективной коммуникации с семьями учеников. *Ведение просветительской деятельности; работа..."
Учитель начальных классов,https://hh.ru/vacancy/79187724,25000,79187724,нет данных,нет данных,Педагогическое образование. Наличие справки об отсутствии/наличии судимости.,Ведение педагогической деятельности в соответствии с ФГОС. Работа в системе АСУ РСО.
Ведущий мастер-классов по профориентации и трудоустройству (педагог),https://hh.ru/vacancy/79111466,10000,79111466,нет данных,нет данных,Отличные навыки коммуникации. Есть опыт взаимодействия с большой аудиторией (или ты чувствуешь в себе силы). Отличные ораторские навыки. ,"Проводить в школах мастер-классы по профориентации, особенностям экзаменов и трудоустройству. Собирать анкеты обратной связи (выполнять план сбора анкет)."
Филолог / лингвист / преподаватель русского языка и литературы / юрист,https://hh.ru/vacancy/78415205,50000,78415205,нет данных,нет данных,Готовность к работе с людьми. Знание ПК на уровне уверенного пользователя. Внимательность.,Общение с кандидатами. Проведение тестирования. Работа с документами. Обработка материалов кандидатов.
Учитель начальных классов,https://hh.ru/vacancy/78967912,50000,78967912,нет данных,нет данных,"Высшее педагогическое образование. Минимальный опыт работы в начальной школе от 1 года. Творческий подход в работе, способность развивать интерес к...",Планировать обучение с учетом образовательного минимума. Организовывать образовательный процесс с учетом интересов детей. Быть гибким (менять ход урока максимально быстро). 
Преподаватель истории (ЕГЭ/ОГЭ),https://hh.ru/vacancy/78050946,100000,78050946,нет данных,нет данных,"Педагогическое или профильное образование, возможно также студенты профильных или педагогических вузов (2-6 курс). Опыт подготовки к ЕГЭ от года...","Вести онлайн-вебинары на большую аудиторию. Участвовать в разработке образовательных материалов по своему предмету. Активно вести соц.сети, прокачивая личный бренд..."
Педагог-воспитатель / воспитатель / куратор / тьютор,https://hh.ru/vacancy/79060178,60000,79060178,нет данных,нет данных,Доброе и теплое отношение к детям. Педагогический опыт. Опыт работы в системе развивающего обучения. Организационные способности. Активная жизненная позиция. ,...в соответствии с принципами школы. Повышение уровня профессионального мастерства (участие в школьных семинарах и курсах). Взаимодействие с родителями и <highlighttext>учителями</highlighttext>.
Учитель русского языка и литературы,https://hh.ru/vacancy/76810571,80000,76810571,нет данных,нет данных,Высшее педагогическое образование. - наличие сертификата экспертного уровня независимой диагностики МЦКО (в формате ЕГЭ) по предмету (русский язык или литература). - ,Обучение предмету в соответствии с требованиями ФГОС. - разработка и реализация рабочих программ в рамках основной общеобразовательной программы. - результативная подготовка к...
Учитель родного (татарского) языка и литературы,https://hh.ru/vacancy/79102959,Не указан,79102959,нет данных,нет данных,Знание методики преподавания предмета. Навык работы с ПК. Желателен опыт работы по специальности. Коммуникабельность. Ответственный подход к обязанностям.,Преподавание родного(татарского) языка и литературы . Ведение соответствующей документации (в т.ч. электронного дневника).
Учитель рисования,https://hh.ru/vacancy/78946807,2000,78946807,нет данных,нет данных,Knowledge and practical experience in teaching Art to children. Experience in teaching art to children. Fluency in spoken English and...,Teaching Art in English to student aged 5 to 17. Evaluation of students’ work by putting grades. Work from 8...
Педагог-организатор,https://hh.ru/vacancy/79029826,25000,79029826,нет данных,нет данных,"...в дополнительном образовании детей и взрослых, а также опыт работы <highlighttext>педагогом</highlighttext> дополнительного образования не менее 2 лет. Б) имеющее высшее...","Содействие развитию личности, талантов и способностей. Формирование общей культуры обучающихся, расширение социальной сферы в их воспитании. Проведение учебных занятий, воспитательных..."
Педагог дополнительного образования,https://hh.ru/vacancy/79098487,20000,79098487,нет данных,нет данных,Педагогическое образование.,В соответствии с должностной инструкцией.
Учитель начальных классов,https://hh.ru/vacancy/79069632,40000,79069632,нет данных,нет данных,"Приветствуется умение импровизировать, наличие музыкальных, актерских, дизайнерских, вокальных, креативных способностей. Участие в жизни школы и детского центра обязательно. ",
Учитель английского языка,https://hh.ru/vacancy/79223034,57500,79223034,нет данных,нет данных,Высшее образование по специальности. Опыт работы в школе (минимум 2 года). Свободное владение английским языком. Компьютерная грамотность. Активная жизненная позиция. ,Обучение учеников английскому языку в подгруппах. Совместное планирование с <highlighttext>педагогом</highlighttext>-носителем. Подготовка детей к олимпиадам и конкурсам. Участие во внеурочной...
"Педагог дополнительного образования (научная, филологическая и гуманитарная направленность)",https://hh.ru/vacancy/79145832,20000,79145832,нет данных,нет данных,Дополнительное образование школьников. Внеурочная деятельность. Высшее педагогическое образование. Опыт работы.,
"Преподаватель ОБЖ, учитель",https://hh.ru/vacancy/78982092,30000,78982092,нет данных,нет данных,<highlighttext>Учитель</highlighttext> должен иметь высшее или среднее профессиональное образование без предъявления требований к стажу педагогической работы.,3.2. <highlighttext>Учитель</highlighttext> обязан иметь тематический план работы по предмету в каждой параллели классов на учебную четверть и рабочий план...
Помощник педагога по раннему развитию детей (м.пр.Большевиков),https://hh.ru/vacancy/79209495,40000,79209495,нет данных,нет данных,"Доброжелательность, жизнерадостность, энергичность, творческое начало и любовь к детям –эти качества необходимы для работы у нас! Рассматриваем кандидатов с законченным...",Помощь в проведении развивающих занятий по методикам Бэби клуба для детей дошкольного возраста. Организация развивающих игр с детьми на переменках. 
Учитель начальных классов,https://hh.ru/vacancy/78972424,Не указан,78972424,нет данных,нет данных,"Специальное образование. Ответственность, заинтересованность в результатах учеников, грамотная речь. Владение электронными образовательными ресурсами.",Проведение уроков. Разработка учебных программ. Проведение консультационных занятий.
Педагог-воспитатель,https://hh.ru/vacancy/78414894,40000,78414894,нет данных,нет данных,Требуемый опыт работы: 1 года в частном саду. Высшее педагогическое образование. Ответственного. Любящего детей. Внимательного к мелочам. Доброжелательного. Энергичного. ,"Контроль за ходом выполнения поставленных задач, качеством образовательного процесса. Забота о создании здоровой атмосферы в учреждении. Реализация проектов, общение с..."
Учитель начальных классов,https://hh.ru/vacancy/79146950,Не указан,79146950,нет данных,нет данных,Наличие высшего профильного педагогического образования. Опыт работы в образовательных учреждениях г. Москвы от 3-х лет. Знание возрастной психологии и...,Проведение уроков в начальной школе согласно ФГОС. Организация образовательно-воспитательного процесса учеников. Организация учебного процесса с учетом особых образовательных потребностей...
Учитель математики/информатики,https://hh.ru/vacancy/78893854,90000,78893854,нет данных,нет данных,"Результаты ЕГЭ по математике (профильный уровень), информатике не ниже 85 баллов. Наличие категории приветствуется.","Преподавание математики/информатики в 10-11 классах. Классное руководство (по желанию). Подготовка к ЕГЭ по математике (профильный уровень), информатике. "
Педагог дополнительного образования в онлайн-школу,https://hh.ru/vacancy/79155205,,79155205,нет данных,нет данных,"Получили педагогическое образование. Знаете программу обучения начальных классов. Особым преимуществом будет умение преподавать ментальную арифметику или скорочтение. Знаете, как пользоваться...",7 лет работаем с детьми. 1 500 детей занимаются постоянно. 100 000 проведённых уроков. 100+ человек в команде. 
Преподаватель в школу по скорочтению,https://hh.ru/vacancy/75541693,55000,75541693,нет данных,нет данных,"Высшее педагогическое образование (<highlighttext>учитель</highlighttext> начальных классов, <highlighttext>учитель</highlighttext> русского языка и литературы). Опыт работы с детьми в школе - от 3-х...","Проведение занятий (для детей и подростков) по готовым методическим материалам, авторским и уникальным программам нашей школы (отсутствие (!!!) рутинной бумажной работы..."
Учитель начальных классов,https://hh.ru/vacancy/78395233,25000,78395233,нет данных,нет данных,,
Учитель математики,https://hh.ru/vacancy/79185102,280000,79185102,нет данных,нет данных,"Окружение единомышленников, любящих и знающих свое дело. Подготовка к уроку и наличие плана урока как демонстрация готовности.",Проведение уроков по стабильному расписанию.
Учитель начальных классов,https://hh.ru/vacancy/78890543,30000,78890543,нет данных,нет данных,Средне-специальное или высшее педагогическое образование (возможна переподготовка). Требования к трудоустройству в образовательные организации.,"Реализация образовательной программы начального общего образования. Ведение документации. Участие в общешкольных мероприятиях. Возможно совмещение административных функций, реализация дополнительных образовательных услуг."
Учитель начальных классов,https://hh.ru/vacancy/77072995,16250,77072995,нет данных,нет данных,"Иметь в/о. Уметь планировать и проводить уроки, анализировать их.",Осуществление профессиональной деятельности в соответствии с требованиями федеральных государственных образовательных стандартов начального общего образования. Применять специальные подходы для включения в...
Учитель английского языка,https://hh.ru/vacancy/78674789,30000,78674789,нет данных,нет данных,Высшее образование; грамотная речь; умение находить контакт с детьми и их родителями; способность работать в режиме многозадачности; стремление к профессиональному...,Обучение детей от 4 лет и старше в маленьких группах по 2-6 человек по авторским методикам; индивидуальный подход к...
Учитель начальных классов,https://hh.ru/vacancy/79099525,1300,79099525,нет данных,нет данных,"Ответственность, пунктуальность.",
Учитель начальных классов,https://hh.ru/vacancy/78941207,25000,78941207,нет данных,нет данных,"Владение методами повышения эффективности учёбы с учётом индивидуальных. Особенностей ученика. Использование методов психологического, социального мониторинга. Умение пользоваться современными ресурсами и...",Организация учебного процесса в начальных классах. Реализация программ воспитания и социализации учащихся. Требованиям ФГОС.
Репетитор по школьным предметам с 5 класса,https://hh.ru/vacancy/79231143,25000,79231143,нет данных,нет данных,Педагогическое образование. Опыт работы более 3-х лет.,Проведение индивидуальных занятий по основным школьным предметам для детей с 5 класс.
Учитель начальных классов,https://hh.ru/vacancy/79109106,50000,79109106,нет данных,нет данных,"огромное желание раскрыть свой потенциал как <highlighttext>Учителя</highlighttext>, любить и любить учить детей, знать, как это делать. - разделять идеалы здорового воспитания...","мы не загружаем <highlighttext>учителей</highlighttext> бесполезной бумажной работой и ведением отчетности: у нас нет отчетов, тестов, электронных журналов и дневников и..."
Педагог-психолог,https://hh.ru/vacancy/79014609,50000,79014609,нет данных,нет данных,"На вакансию рассматриваются <highlighttext>учителя</highlighttext> начальных классов, русского языка и литературы, математики, <highlighttext>педагоги</highlighttext>-психологи и другие. ... И не забудьте прихватить творческий...",порядка 560 филиалов в России и СНГ. Проведение вводных ознакомительных занятий. Ведение документации по своим ученикам.
Учитель начальных классов,https://hh.ru/vacancy/78011150,25000,78011150,нет данных,нет данных,Педагогическое образование. Также рассмотрим студентов после 3-го курса.,
Тьютор,https://hh.ru/vacancy/78781030,25000,78781030,нет данных,нет данных,Опыт работы.,Организует индивидуальное сопровождение в образовательном пространстве. Организует взаимодействие ребенка с <highlighttext>педагогом</highlighttext> и другими специалистами. Организует консультации для родителей по вопросам...
Педагог (начальные классы),https://hh.ru/vacancy/78723697,50000,78723697,нет данных,нет данных,"Есть высшее педагогическое образование/бакалавриат (желательно <highlighttext>учитель</highlighttext> начальной школы). - Есть опыт работы от 1 года в образовании ( начальные классы, подготовка...",Взаимодействовать с родителями о результатах обучения. -Принимать участие в мероприятиях школы. Мы максимально разгрузили <highlighttext>педагога</highlighttext> от документооборота – всего 1 журнал...
Преподаватель дополнительного образования,https://hh.ru/vacancy/78292011,85000,78292011,нет данных,нет данных,"<highlighttext>Преподаватель</highlighttext> дополнительного образования (можно дистанционно). - обучения по программам дополнительного образования (охрана труда, техника безопасности и т.д.). Требования: - высшее образование. - ",
Учитель начальных классов,https://hh.ru/vacancy/79119865,23000,79119865,нет данных,нет данных,"Высшее или средне-специальное образование. Специальность по образованию: Педагогика. Медицинская книжка. Вакцинация против гепатита В, кори, АДСМ.",Обучение по образовательным программам. Воспитание учащихся. Возможно классное руководство. Работа с ПК.
Учитель начальных классов,https://hh.ru/vacancy/78876635,45000,78876635,нет данных,нет данных,Педагогическое образование. Опыт работы в школе от 3-х лет. Понимание основ педагогики и психологии. Принятие ценностей школы.,Обучение детей по программам начальной школы. Информирование родителей о результатах обучения. Индивидуальный подход к каждому ребенку. Контроль усвоения материала программы...
Педагог дополнительного образования/учитель начальных классов/учитель русского языка и литературы,https://hh.ru/vacancy/78978112,25000,78978112,нет данных,нет данных,"Высшее образование, опыт работы с детьми, активность, позитив, коммуникабельность, желание получить новый опыт, изучить уникальную авторскую методику и проводить по...",Проведение занятий у детей по уникальной авторской методике iq007. Занятия проходят в небольших группах (до 6 чел.) Проведение пробных...
Ассистент педагога в детский сад,https://hh.ru/vacancy/79121899,45000,79121899,нет данных,нет данных,"Позитивный жизненный настрой, креативность, желание развиваться. Высшее педагогическое, психологическое, лингвистическое или музыкальное образование. Любовь к маленьким детям и профессии.","Проведение занятий с детьми согласно Программе (готовые планы и программа на весь учебный год). Соблюдение режимных моментов (прогулки, питание, дневной..."
Учитель начальных классов,https://hh.ru/vacancy/79179343,45000,79179343,нет данных,нет данных,Педагогическое образование. Грамотная речь. Любовь к детям. Медицинская книжка.,"Организация образовательно-воспитательного процесса учеников начальной школы основанного на деятельностном подходе, учитывая индивидуальное развитие учеников, развивая мотивацию. Проведение занятий в..."
Педагог дополнительного образования,https://hh.ru/vacancy/79060681,35000,79060681,нет данных,нет данных,"Высшее профильное образование. - Опыт работы: <highlighttext>педагог</highlighttext> начальных, <highlighttext>педагог</highlighttext> математики, <highlighttext>педагог</highlighttext> русского языка и литературы от 3-х лет. - ",Проведение индивидуальных и групповых занятий по подготовке к школе. - Проведение собеседований/ознакомительных занятий с детьми. - Работа с детьми 4-11...
Учитель технологии (девочки),https://hh.ru/vacancy/75810103,20000,75810103,нет данных,нет данных,"Высшее профессиональное образование или среднее профессиональное образование по направлению подготовки «Образование и педагогика» или в области, соответствующей преподаваемому предмету.","Планирует и осуществляет учебный процесс в соответствии с образовательной программой образовательного учреждения, разрабатывает рабочую программу по предмету, курсу на основе..."
Педагог дополнительного образования,https://hh.ru/vacancy/79218002,20000,79218002,нет данных,нет данных,"Работа для тех, кто чувствует, что засиделся на текущем уровне, хочет большего. Методикам обучаем в Хабаровске. Опыт работы с детьми. ","Проведение групповых занятий (3-6 человек в группе) с детьми 5-13 лет по авторским методикам (развитие интеллекта, скорочтение, красивый..."
Учитель начальных классов,https://hh.ru/vacancy/79247381,7000000,79247381,нет данных,нет данных,"Высшее педагогическое образование. Свободное владение русским языком. Владение MS Office. Ответственность, организованность, любовь к детям, доброжелательность.","Организация учебно-воспитательного процесса на своих уроках и других мероприятиях с учащимися, руководство им и контроль за развитием этого процесса. "
Учитель начальных классов,https://hh.ru/vacancy/79070080,Не указан,79070080,нет данных,нет данных,Наличие высшего педагогического образования. Релевантный опыт работы от 5 лет. Умение работать с детьми от 6-11 лет. ,"Проведение уроков в начальной школе, в классе ( 15 чел). Организация образовательного процесса . Заполнение ЭЖД. Написание рабочих программ по предмету. "
Учитель начальных классов в подготовку к школе в Русскую группу,https://hh.ru/vacancy/79233296,120000,79233296,нет данных,нет данных,Обязателен опыт работы от 3 лет (со знанием русского языка).,
Учитель начальных классов,https://hh.ru/vacancy/78184542,20000,78184542,нет данных,нет данных,"Высшее профессиональное образование или среднее профессиональное образование по направлению подготовки ""Образование и педагогика"" или в области, соответствующей преподаваемому предмету. ",Обучение. Воспитание обучающихся.
Учитель русского языка и литературы,https://hh.ru/vacancy/79148072,Не указан,79148072,нет данных,нет данных,Высшее педагогическое образование. Знание английского языка от уровня В2. Опыт работы в школе от 3-х лет. ,Проведение уроков по основной образовательной программе. Классное руководство. Составление рабочих программ по преподаваемым предметам. Участие в жизни класса.
Педагог дополнительного образования,https://hh.ru/vacancy/79066232,35000,79066232,нет данных,нет данных,"...готовность работать онлайн при необходимости. - Долгосрочное и порядочное сотрудничество. - Активных и инициативных <highlighttext>педагогов</highlighttext>, готовых разделять ответственность за результат развития направления.","Проводить индивидуальные и групповые занятия по авторской методике Ахмадуллина Ш.Т. по скорочтению. - Проводить входные, промежуточные и итоговые диагностики, определять..."
Преподаватель по рисованию,https://hh.ru/vacancy/78024693,30000,78024693,нет данных,нет данных,Художественное образование. Грамотная речь. Умение объяснять. Навыки работы в разных направлениях и разными материалами. Желательно наличие опыта преподавания и/или...,Проведение занятий по рисованию для взрослых и детей от 10 лет. Общение с учениками школы. Составление списка покупок для занятий. 
Педагог-вожатый,https://hh.ru/vacancy/79098278,50000,79098278,нет данных,нет данных,Педагогическое образование. Уровень английского не ниже B2. Опыт работы в ДОЛ. Опыт организации и проведения мероприятий для детей и...,"Проведение занятий по английскому в группах по 14 человек 4 акч в день. Организация детского досуга, планирование и проведение мероприятий."
Педагог начальных классов,https://hh.ru/vacancy/79159516,120000,79159516,нет данных,нет данных,"Свободно владеть казахским, русским языками. Иметь огромное желание обучать детей. Требования: Высшее педагогические образование. Определение четких целей уроков. ",
Куратор/старший воспитатель детского пространства,https://hh.ru/vacancy/78240520,60000,78240520,нет данных,нет данных,"Темы для творческих занятий рождаются совместно с детьми. - Ответственного, инициативного, активного, творческого, доброжелательного сотрудника с развитой эмпатией, умеющего работать в...",Сопровождение детей и родителей в период адаптации. -Взаимодействие с <highlighttext>педагогами</highlighttext> и родителями. -Подготовка творческих материалов для занятий. - Контроль соблюдения порядка...
Учитель английского языка в детский сад,https://hh.ru/vacancy/79077590,4500000,79077590,нет данных,нет данных,"Высшее профильное образование. Знание английского не ниже 6,5. Опыт работы с детьми дошкольного возраста от 1 года. ",Преподавание английского языка детям. Составление тематического плана по предмету.
Учитель начальных классов,https://hh.ru/vacancy/78353545,50000,78353545,нет данных,нет данных,"Знание программ начального образования. Положительный опыт работы по ФГОС. Грамотная речь. Наличие медицинской книжки. Владение ПК, мультимедийным оборудованием. ","Обучение и воспитание обучающихся начальной школы в соответствии ФГОС, работа в ГПД, классный руководитель."
Преподаватель казахского языка,https://hh.ru/vacancy/78655365,200000,78655365,нет данных,нет данных,"Высшее профильное образование. Опыт работы от 1 года. Свободное владение казахским, русским и английским языками. Коммуникабельность и соблюдение бизнес- этикета.",Преподавание казахского языка в соответствии со стандартом обучения. Проведение и участие во внутренних мероприятиях компании. Работа с корпоративными клиентами. 
Педагог-психолог (консультант Детского телефона доверия),https://hh.ru/vacancy/79095868,27000,79095868,нет данных,нет данных,"Высшее образование (педагогика, психология, социальный работник).",Психолого-педагогическое консультирование обратившихся на Детский телефон доверия.
Учитель технологии,https://hh.ru/vacancy/78389685,75000,78389685,нет данных,нет данных,"Высшее педагогическое образование соответствующее предмету ""Технология"". - Дополнительное образование в области педагогики, психологии будет преимуществом. - Аналогичный опыт работы от 3 лет...",1. Проведение уроков в соответствии с учебным планом и расписанием. 2. Осуществление профессиональной деятельности в соответствии стандартов ФГОС. 3. 
Учитель начальных классов,https://hh.ru/vacancy/79015921,Не указан,79015921,нет данных,нет данных,"Иметь высшее образование по любой специальности (или среднее, но специальное педагогическое) к 1 сентября 2023 года. Диплом МГИМО о педагогической...",Пройти отбор в программу.
